u,v,dist,egc
9,108,0.00647766165624811,323.27819809524124
46,123,0.007030708123183754,350.8788779055926
31,57,0.0102238799907829,510.23929256543624
60,83,0.01088838802723183,543.4026425585328
44,100,0.01312688198268012,655.1183095332659
26,109,0.013929730025967701,695.1857416641111
21,76,0.01634158191624874,815.5531171985507
87,119,0.017331123877409836,864.9378117256613
67,103,0.018790018685828566,937.746320398107
47,52,0.019926926548960083,994.4855489805315
104,116,0.02176094730546744,1086.015325757477
76,90,0.022283791507296567,1112.10871260315
5,57,0.022435490937716848,1119.679518415621
27,70,0.023161634085460764,1155.9188684803828
0,65,0.024305722438733815,1213.0164510549698
46,85,0.025253716564990637,1260.3276335779985
70,96,0.026128114533274,1303.9658806192172
6,75,0.026263807142279556,1310.7378400795956
89,111,0.027786587246135114,1386.73464790837
80,117,0.028209409018664474,1407.8362533938746
57,117,0.029613585185258955,1477.9139396075554
10,110,0.029898741303983175,1492.1451176358305
43,69,0.030053171872606883,1499.8522253245042
27,66,0.03014825226419907,1504.597366287287
36,80,0.030978360323179528,1546.025253659684
6,95,0.03286916688382806,1640.3890179794093
93,99,0.03370068867084907,1681.8874597397628
43,102,0.03408518229595328,1701.076236940391
8,15,0.034459546721635946,1719.7595000356341
44,87,0.03703027069280832,1848.0556441232525
65,97,0.037434561500538074,1868.2324317921912
32,111,0.037632379349514106,1878.1048519897427
16,37,0.03792330630392401,1892.6240329210673
34,91,0.03913940235141338,1953.3152761205176
4,45,0.04036456991107705,2014.4592478299355
20,84,0.040414886989310644,2016.9704031276322
11,71,0.0415247730309105,2072.36106393397
6,32,0.042012898338159826,2096.721748104629
50,101,0.0430225658730736,2147.11084199121
8,92,0.0442887678296419,2210.302701749621
68,71,0.0454652650037734,2269.0176990280784
49,86,0.0467248308856947,2331.8783747314783
40,86,0.047042052149256205,2347.7098157550677
29,30,0.04732450602076706,2361.8061337587997
25,29,0.047583709326486485,2374.7420946132047
39,89,0.04777919122371536,2384.4979353548147
33,34,0.0481386056137545,2402.4350927037603
49,119,0.05439866009917908,2714.8532524380016
15,107,0.054788208382921796,2734.294290566007
10,47,0.05534887472090923,2762.2752523845984
23,119,0.05701603036601954,2845.4773554730978
13,17,0.05719472920115608,2854.395610314169
12,50,0.05741617460234051,2865.4472017788653
3,83,0.05765801497578304,2877.5166373718416
29,81,0.059886957402112445,2988.7556198134102
62,63,0.060226549762743484,3005.7035266751122
28,48,0.06386211411724327,3187.142255023687
3,69,0.0639427432595048,3191.1661829790987
76,105,0.06419103791937594,3203.5577301915696
55,116,0.06543353059108781,3265.5663396826376
86,91,0.065728593595,3280.291936864345
11,26,0.06585849930531465,3286.775091771378
52,84,0.06586621023875547,3287.1599183956546
91,102,0.0661156422896742,3299.6082289508117
59,99,0.0691089355414079,3448.993377503259
7,8,0.06936884309322275,3461.964484899862
20,124,0.07317434360779572,3651.8841525958464
74,101,0.07424863741198315,3705.4985251383837
108,110,0.0749423504207001,3740.1193965815423
13,113,0.07517131758833936,3751.5463739856486
41,63,0.07742078964520907,3863.8099208952035
16,103,0.07828618807712098,3906.9990314954894
24,122,0.07876507455110782,3930.898636726232
25,88,0.07914301006355814,3949.760120691405
73,89,0.08203990090056532,4094.33415057501
0,43,0.08252767362560012,4118.677238559107
79,108,0.08544136905384012,4264.08992878988
46,72,0.08587165238920076,4285.563915655438
62,104,0.08680804198358032,4332.295955216993
70,109,0.0884265320345562,4413.0693229969975
32,61,0.09061065251238372,4522.071393491671
24,100,0.09219792491864419,4601.286794142805
4,108,0.09577124673375345,4779.619207736636
17,123,0.0974534930646613,4863.574435945207
41,121,0.10183470485927074,5082.225907663987
19,100,0.10568757952638089,5274.509859183554
58,72,0.1096279465849862,5471.16026022929
59,60,0.10989122085183428,5484.299388993355
2,94,0.11035935485475097,5507.662374737453
67,110,0.11238292030301594,5608.651686399308
4,38,0.115886850600562,5783.521003902085
72,90,0.12589953847141677,6283.220411613173
61,118,0.12922942442839716,6449.403764366236
19,110,0.13055676875246575,6515.647033019044
31,124,0.13231587554057134,6603.43810685004
